plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,94,NA,NA,143,NA,17728610,24780054
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,90,NA,NA,131,NA,17728610,24780055
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,60,NA,NA,57,NA,17728592,24779973
QUVI,Quercus virginiana,live oak,,NA,NA,NA,NA,NA,NA,17728592,24779974
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728593,24779975
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,70,NA,NA,86,NA,17728593,24779976
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728593,24779977
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,NA,NA,NA,NA,NA,17728593,24779978
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,90,NA,NA,100,NA,17728585,24779957
PODE3,Populus deltoides,eastern cottonwood,,NA,100,NA,NA,129,NA,17728585,24779958
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,90,NA,NA,129,NA,17728585,24779959
FRPE,Fraxinus pennsylvanica,green ash,"Broadfoot, Krinard 1959 (330)",NA,85,NA,NA,57,NA,17728585,24779960
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,90,NA,NA,86,NA,17728585,24779961
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728598,24779983
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728598,24779984
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,NA,NA,NA,NA,NA,17728598,24779985
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,70,NA,NA,86,NA,17728598,24779986
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728544,24779835
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728544,24779836
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728544,24779837
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,83,NA,NA,114,NA,17728544,24779838
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728544,24779839
CARYA,Carya,hickory,"Boisen, Newlin 1910  (150)",NA,NA,NA,NA,NA,NA,17728545,24779840
